record - leader,001,008,035,040,System Control Number,245,Title Information,260,Publication Information,310,Current Publication Frequency,336,337,338,653,650,710,264,996,998,500,856,247,580,775,300,490,700,773,991,022,250,981,692,246,900,505,210,340,982,321,130,041,655,546,983,966,110,665,711
,,,,,Language of cataloging varies,,,,Wereldscholen. Evangelie en bevrijding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00574nas  2200181u  4500,9912772300101480,911028q19781987be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001277230LBS01-Aleph^$ $ $a3940486^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912772300101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$4$aHet biljet van Waasmunster.,Het biljet van Waasmunster.,^$ $ $aWaasmunster$ $ $bLovinfosse$ $ $c1978-[1987],Waasmunster,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,^$1$8$w(BeLVLBS)001277223LBS01-Aleph$ $ $tHet biljet van de baas$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Lovinfosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[1987],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00942nas  2200265u  4500,9912782500101480,911031d19762001be wr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001278250LBS01-Aleph^$ $ $a3945380^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912782500101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aLCM. Persoverzicht.,LCM. Persoverzicht.,^$ $ $aBrussel$ $ $bLandsbond der christelijke mutualiteiten$ $ $c1976-2001,Brussel,^$ $ $aWeekly,Weekly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amutualiteiten$ $ $6(ODIS-TW)2447,^$2$ $aLandsbond der christelijke mutualiteiten.$ $ $4oth^$2$ $aAlliance nationale des mutualites chrétiennes$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.am,^$ $ $aPublicatie is stopgezet,,,,,,,,,,,,,,,,,,,,,^$0$ $aANMC. Revue de la presse,,,,,,,,
,,,,,Language of cataloging varies,,,,Landsbond der christelijke mutualiteiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1976-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00645nas  2200193u  4500,9912782540101480,911031q19791990be fr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001278254LBS01-Aleph^$ $ $a3945394^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912782540101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aInfo sleepdiensten.,Info sleepdiensten.,^$ $ $aAntwerpen$ $ $bChristelijke vervoerarbeiders en diamantbewerkers$ $ $c1979-[1990],Antwerpen,^$ $ $aSemiannual,Semiannual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aChristelijke vervoerarbeiders en diamantbewerkers$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Christelijke vervoerarbeiders en diamantbewerkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01028nas  2200265u  4500,9912782580101480,911031q19791990be fr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001278258LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912782580101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aOKRA info$ $ $bmaandelijks tijdschrift voor trefpuntverantwoordelijken,OKRA info,^$ $ $aAntwerpen$ $ $bKBG. Verbond Antwerpen$ $ $31977-2006,Antwerpen,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,,^$ $1$c1977-^$ $1$aAntwerpen$ $ $bOKRA. Verbond Antwerpen$ $ $32006,^$ $ $aKADOC$ $ $bphysical$ $ $c201504$ $ $9local,,,,^$1$0$aContact$ $ $bmaandelijks tijdschrift voor bestuursleden$ $ $f2002-2015^$ $0$aKontakt$ $ $bmaandelijks tijdschrift voor bestuursleden71$ $ $f1977-2001,,,,,,,,,,,,^$1$3$aOkra info$ $ $bmaandelijks tijdschrift voor bestuursleden,,,,,,,,^$ $ $adut,,,,,,,
,,,,,,,maandelijks tijdschrift voor trefpuntverantwoordelijken,,KBG. Verbond Antwerpen$ $ $31977-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00716nas  2200205u  4500,9912821710101480,911031q19791990be fr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001282171LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912821710101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aKern.,Kern.,^$ $ $aBrussel$ $ $bKristelijke arbeidersbeweging verbond Brussel$ $ $c1976-[1981],Brussel,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KHBO$ $ $atijdschriften,,,,,,,,^$ $ $aVoortzetting van: Bestuursblad ACW-arrondissement Brussel,^$1$8$w(BeLVLBS)001282157LBS01-Aleph$ $ $tBestuursblad ACW-arrondissement Brussel$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Kristelijke arbeidersbeweging verbond Brussel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1976-[1981],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00670nas  2200229u  4500,9912856310101480,911125q19791998be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001285631LBS01-Aleph^$ $ $a3978211^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912856310101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aSamen ACW : maandblad van het ACW-Aalst.,Samen ACW : maandblad van het ACW-Aalst.,,,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$2$ $aACW. Aalst$ $ $4oth,^$ $1$c[1979]-[1998]^$ $1$aAalst$ $ $bACW$ $ $3[1979]-[1998],^$ $ $aKADOC$ $ $bphysical$ $ $c202107$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.am,^$ $ $aOndertitel varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01245nas  2200301u  4500,9912896160101480,911205q19761978be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001289616LBS01-Aleph^$ $ $a3995428^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912896160101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aBulletin de liaison$ $ $aConférence des O.I.C.,Bulletin de liaison,,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT)$ $ $wKerken en religie^$ $7$2KADOC$ $ $aC5$ $ $aODIS-HT)$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $alevensbeschouwing$ $ $6(ODIS-TW)2799^$ $7$2KADOC$ $ $acongressen$ $ $6(ODIS-TW)409^$ $7$2KADOC$ $ $ainternationale organisatievormen$ $ $6(ODIS-TW)2583,^$2$ $aConférence des organisations internationales catholiques$ $ $4oth,^$ $1$aBruxelles$ $ $bSecrétariat général de la Conférence des Organisations Internationales Catholiques$ $ $c1976-[1978]^$ $1$aBrussels$ $ $bConference of International Catholic Organisations (CICO),,,,,,,,,,"^$1$ $aBouvy, Jean$ $ $cS.J.$ $ $d1922-2006$ $ $4edc",,,,,,,^$0$0$aNewsletter$ $ $bI.C.O.'s conference,,,,,,,,^$ $ $afre^$ $ $aeng,,,,,,,
,,,,,Language of cataloging varies,,Conférence des O.I.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00597nas  2200205u  4500,9912978120101480,920113d19791983be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001297812LBS01-Aleph^$ $ $a4038901^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912978120101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$3$aDe harteklop.,De harteklop.,^$ $ $aGenk$ $ $bJong-KVG$ $ $c1979-1983,Genk,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aJong-KVG-Genk$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.am,,,,^$ $ $aVoortgezet als: De regenboog,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Jong-KVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00559nas  2200193u  4500,9913045250101480,920204q19791986be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001304525LBS01-Aleph^$ $ $a4078360^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913045250101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$3$aDe zandloper.,De zandloper.,^$ $ $aDiepenbeek$ $ $bJKVG$ $ $c1979-[1986],Diepenbeek,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aJKVG. Diepenbeek$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,JKVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1986],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00578nas  2200193u  4500,9913045360101480,920204q19771984be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001304536LBS01-Aleph^$ $ $a4078420^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913045360101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aBla-bla-blaadje.$ $ $613058877,Bla-bla-blaadje.$ $ $613058877,^$ $ $aHasselt$ $ $bJKVG. West-Limburg$ $ $c[1977]-[1984],Hasselt,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aJKVG. West-Limburg$ $ $4oth,,,,^$ $ $aUitgever varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,JKVG. West-Limburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1977]-[1984],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00734nas  2200229u  4500,9913112440101480,920225q19772001be zr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001311244LBS01-Aleph^$ $ $a4115666^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913112440101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aDavidsfonds Don Bosco Kessel-Lo. Kontakt$ $ $61244974,Davidsfonds Don Bosco Kessel-Lo. Kontakt$ $ $61244974,^$ $ $aKessel-Lo$ $ $bDavidsfonds Don Bosco$ $ $c1977-[2001],Kessel-Lo,^$ $ $aOther,Other,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Don Bosco Kessel-Lo$ $ $4oth,,^$ $ $aKADOC$ $ $bphysical$ $ $c201505$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,,,,,,,,,,,,,^$ $ $aNZJOURN123,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Davidsfonds Don Bosco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-[2001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00614nas  2200205u  4500,9913121140101480,920226d19771989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001312114LBS01-Aleph^$ $ $a4119778^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913121140101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aKultuur van de stilte.,Kultuur van de stilte.,^$ $ $aHaasrode$ $ $bBremberg$ $ $c1977-1989,Haasrode,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aVormingscentrum Bremberg$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,^$ $ $aFrequentie varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Bremberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00633nas  2200205u  4500,9913132590101480,920226d19771989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001313259LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913132590101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aOntmoeting.$ $ $61210115,Ontmoeting.$ $ $61210115,^$ $ $aLeuven$ $ $bDavidsfonds. Afdeling Leuven Centrum$ $ $c1976-[2001],Leuven,^$ $ $aOther,Other,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,^$ $ $aKADOC$ $ $bphysical$ $ $c201601$ $ $9local,,^$ $ $afrequentie varieert,,,,,,,,,,,,^$ $ $aNZJOURN123,,,,,,,,,,,,,,,,,
,,,,,,,,,Davidsfonds. Afdeling Leuven Centrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1976-[2001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00528nas  2200169u  4500,9913189970101480,920226d19771989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001318997LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913189970101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aCCV news haven.,CCV news haven.,^$ $ $aAntwerpen$ $ $bACV. Christelijke centrale van vervoerarbeiders$ $ $c[1979]-[1980],Antwerpen,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ACV. Christelijke centrale van vervoerarbeiders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,[1979]-[1980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00622nas  2200181u  4500,9913190620101480,920226d19771989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001319062LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913190620101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aCCV-info sleepdiensten.,CCV-info sleepdiensten.,^$ $ $aAntwerpen$ $ $bACV. Christelijke centrale van vervoerarbeiders$ $ $c[1979]-[1982],Antwerpen,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$2$ $aACV. Christelijke centrale van vervoerarbeiders. Sleepdiensten$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ACV. Christelijke centrale van vervoerarbeiders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,[1979]-[1982],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00479nas  2200169u  4500,9913191150101480,920319q19781987be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001319115LBS01-Aleph^$ $ $a4156313^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913191150101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aCenaatje.,Cenaatje.,^$ $ $aKampenhout$ $ $bDe Cock$ $ $c[1978]-[1987],Kampenhout,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,De Cock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1978]-[1987],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00798nas  2200217u  4500,9915572810101480,920319q19781987be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001557281LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915572810101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aOp 't veld.$ $ $613083470,Op 't veld.$ $ $613083470,,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2UDC$ $ $a266 <05> Missies. Evangelisatie. Zending--Tijdschriften Missions. Evangelisation—Tijdschriften^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,,^$ $1$aMechelen$ $ $bBroederlijk delen. Welzijnszorg. Vlaams Brabant$ $ $c[1977]-2003,,,^$ $ $aPublicatie stopgezet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00548nas  2200193u  4500,9916227800101480,950506q19781989au fr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001622780LBS01-Aleph^$ $ $a5932902^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916227800101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aFEECA-bulletin.,FEECA-bulletin.,^$ $ $aLinz$ $ $bFEECA$ $ $c1978-[1989],Linz,^$ $ $aSemiannual,Semiannual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aFEECA$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,FEECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[1989],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00651nas  2200205u  4500,9916227930101480,950506q19791983ne zr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001622793LBS01-Aleph^$ $ $a5932931^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916227930101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aNieuws uit Vaticaanstad.$ $ $613082050,Nieuws uit Vaticaanstad.$ $ $613082050,^$ $ $aAmsterdam$ $ $bs.n.$ $ $c1979-[1983],Amsterdam,^$ $ $aOther,Other,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2UDC$ $ $a262.13$ $ $xPausschap. Heilige Stoel. Vaticaan. Paus als soeverein,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,s.n.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1983],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00624nas  2200205u  4500,9916307550101480,950601d19792005be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001630755LBS01-Aleph^$ $ $a5976334^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916307550101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aKontaktblad laudate Dominum.,Kontaktblad laudate Dominum.,^$ $ $aKortrijk$ $ $bs.n.$ $ $c[1979]-2005,Kortrijk,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aKortrijks Gregoriaans koor$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,s.n.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00546nas  2200193u  4500,9916388160101480,950703q19791980be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001638816LBS01-Aleph^$ $ $a6022624^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916388160101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aACLI-Flash.,ACLI-Flash.,^$ $ $aHouthalen$ $ $bACLI$ $ $c1979-[1980],Houthalen,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,ACLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00609nas  2200205u  4500,9916675460101480,951030q19771985be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001667546LBS01-Aleph^$ $ $a6175702^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916675460101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aTachtig is één.,Tachtig is één.,^$ $ $aLaarne$ $ $bMilac. Oost-Vlaanderen$ $ $c[1977]-[1985],Laarne,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aMilac. Oost-Vlaanderen$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,,,,,,,,,,,,,,^$1$1$a80 is 1,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Milac. Oost-Vlaanderen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1977]-[1985],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00606nas  2200193u  4500,9916771800101480,951030q19771985be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001677180LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916771800101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aIdefix.,Idefix.,^$ $ $aBrussel$ $ $bGemeenschap De regenboog$ $ $c1976-2006,Brussel,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $abasisgemeenschappen$ $ $6(ODIS-TW)215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Gemeenschap De regenboog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1976-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
