record - leader,001,008,035,040,System Control Number,245,Title Information,260,"$a - Place of publication, distribution",$b - Name of publisher,"$c - Date of publication, distribution",310,Current Publication Frequency 1,336,337,338,653,650,710,Corporate Name / Entity of the owner,264,996,998,500,856,247,580,775,300,490,700,773,991,022,250,981,692,246,900,505,210,340,982,321,130,041,655,546,983,966,110,665,711
00648nas  2200217u  4500,9921183150101480,000214q19779999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002118315LBS01-Aleph^$ $ $a8236387^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921183150101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$0$aToktok.,Toktok,^$ $ $aEdegem$ $ $bVKSJ$ $ $c[1977]-?,Edegem,VKSJ,[1977]-?,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aVKSJ. Edegem$ $ $4oth,Vksj. Edegem,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00647nas  2200217u  4500,9921204510101480,000221d19789999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002120451LBS01-Aleph^$ $ $a8246707^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921204510101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$0$aKSA Lauwe.,Ksa Lauwe,^$ $ $aLauwe$ $ $bKSA$ $ $c[1978]-?,Yablonovka,KSA,[1978]-?,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA. Lauwe$ $ $4oth,Ksa. Lauwe,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00562nas  2200193u  4500,9921216920101480,000224q19791984be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002121692LBS01-Aleph^$ $ $a8251915^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921216920101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$3$a't Kriebeltje.,'t Kriebeltje,^$ $ $aOudenaarde$ $ $bVKSJ$ $ $c1979-[1984],Oudenaarde,VKSJ,[1979]-[1984],^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aVKSJ. Oudenaarde$ $ $4oth,Vksj. Oudenaarde,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00687nas  2200229u  4500,9921226420101480,000228q19781996be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002122642LBS01-Aleph^$ $ $a8256069^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921226420101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$3$a't Schrijverke.,'t Schrijverke,^$ $ $aLommel$ $ $bKSA$ $ $c[1978]-[1996],Ulli Lommel,KSA,[1978]-[1996],^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA. Lommel$ $ $4oth,Ksa. Lommel,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00691nas  2200217u  4500,9921231690101480,000229q19781991be zr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002123169LBS01-Aleph^$ $ $a8258315^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921231690101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$3$aDe kamper : bondsblad van KSA kampersploeg.,De Kamper : Bondsblad Van Ksa Kampersploeg,^$ $ $aKortrijk$ $ $bKSA$ $ $c1978-[1991],Kortrijk,KSA,[1978]-[1991],^$ $ $aIrregular,Irregular,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA. Kortrijk$ $ $4oth,Ksa. Kortrijk,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
